wall_time,ros_time,field.x,field.y,field.z
0.281598,6.960000000,562.500000000,640.000000000,1.000000000
1.078604,7.022000000,562.500000000,640.000000000,1.000000000
1.856430,7.095000000,562.000000000,640.000000000,1.000000000
2.604203,7.138000000,562.500000000,640.000000000,1.000000000
3.304818,7.206000000,562.500000000,640.000000000,1.000000000
3.896616,7.264000000,563.000000000,640.000000000,1.000000000
4.482781,7.321000000,562.500000000,640.000000000,1.000000000
5.081031,7.389000000,558.500000000,640.000000000,1.000000000
5.621629,7.457000000,538.000000000,640.000000000,1.000000000
6.171323,7.514000000,520.500000000,640.000000000,1.000000000
6.676982,7.561000000,495.000000000,640.000000000,1.000000000
7.231458,7.619000000,483.000000000,640.000000000,1.000000000
7.772287,7.680000000,465.000000000,640.000000000,1.000000000
8.312096,7.744000000,445.500000000,640.000000000,1.000000000
8.831820,7.802000000,429.500000000,640.000000000,1.000000000
9.444216,7.857000000,413.000000000,640.000000000,1.000000000
10.008080,7.907000000,405.000000000,640.000000000,1.000000000
10.578776,7.953000000,392.500000000,640.000000000,1.000000000
11.128286,8.009000000,379.500000000,640.000000000,1.000000000
11.858895,8.136000000,368.000000000,640.000000000,1.000000000
12.351063,8.181000000,358.000000000,640.000000000,1.000000000
12.847926,8.218000000,343.000000000,640.000000000,1.000000000
13.431490,8.263000000,337.500000000,640.000000000,1.000000000
14.223379,8.324000000,324.000000000,640.000000000,1.000000000
14.822962,8.372000000,319.000000000,640.000000000,1.000000000
15.590901,8.480000000,309.000000000,640.000000000,1.000000000
16.468687,8.653000000,295.500000000,640.000000000,1.000000000
17.026000,8.715000000,282.500000000,640.000000000,1.000000000
17.622228,8.775000000,262.500000000,640.000000000,1.000000000
18.222839,8.847000000,258.500000000,640.000000000,1.000000000
18.851607,8.891000000,256.000000000,640.000000000,1.000000000
19.501640,8.953000000,256.000000000,640.000000000,1.000000000
20.122198,9.011000000,257.000000000,640.000000000,1.000000000
20.784796,9.111000000,258.000000000,640.000000000,1.000000000
21.362614,9.194000000,260.500000000,640.000000000,1.000000000
21.971246,9.243000000,263.500000000,640.000000000,1.000000000
22.608942,9.301000000,268.000000000,640.000000000,1.000000000
23.187223,9.354000000,270.000000000,640.000000000,1.000000000
23.812332,9.404000000,272.500000000,640.000000000,1.000000000
24.551343,9.481000000,275.000000000,640.000000000,1.000000000
25.082791,9.522000000,275.500000000,640.000000000,1.000000000
25.699187,9.582000000,280.000000000,640.000000000,1.000000000
26.312064,9.658000000,281.000000000,640.000000000,1.000000000
26.952216,9.750000000,285.000000000,640.000000000,1.000000000
27.533574,9.799000000,286.000000000,640.000000000,1.000000000
28.056852,9.843000000,291.000000000,640.000000000,1.000000000
28.690110,9.923000000,294.000000000,640.000000000,1.000000000
29.249053,9.992000000,295.000000000,640.000000000,1.000000000
29.814859,10.057000000,299.000000000,640.000000000,1.000000000
30.388103,10.135000000,302.000000000,640.000000000,1.000000000
31.023756,10.203000000,306.500000000,640.000000000,1.000000000
31.617312,10.257000000,312.500000000,640.000000000,1.000000000
32.144599,10.307000000,314.000000000,640.000000000,1.000000000
32.707626,10.351000000,317.000000000,640.000000000,1.000000000
33.219674,10.395000000,318.000000000,640.000000000,1.000000000
33.769620,10.442000000,322.000000000,640.000000000,1.000000000
34.312124,10.494000000,324.000000000,640.000000000,1.000000000
34.859256,10.550000000,328.500000000,640.000000000,1.000000000
35.616724,10.624000000,330.500000000,640.000000000,1.000000000
36.206245,10.680000000,334.000000000,640.000000000,1.000000000
36.769099,10.741000000,340.000000000,640.000000000,1.000000000
37.225779,10.781000000,346.000000000,640.000000000,1.000000000
37.722233,10.835000000,347.500000000,640.000000000,1.000000000
38.272249,10.897000000,349.500000000,640.000000000,1.000000000
38.845268,10.959000000,358.000000000,640.000000000,1.000000000
39.467515,11.046000000,360.500000000,640.000000000,1.000000000
40.059109,11.114000000,362.000000000,640.000000000,1.000000000
40.562217,11.177000000,364.500000000,640.000000000,1.000000000
41.229945,11.243000000,366.000000000,640.000000000,1.000000000
41.754606,11.290000000,373.500000000,640.000000000,1.000000000
42.288147,11.338000000,370.000000000,640.000000000,1.000000000
42.889678,11.411000000,375.000000000,640.000000000,1.000000000
43.466661,11.472000000,376.500000000,640.000000000,1.000000000
44.092518,11.553000000,376.500000000,640.000000000,1.000000000
44.787087,11.651000000,379.500000000,640.000000000,1.000000000
45.276932,11.704000000,380.500000000,640.000000000,1.000000000
45.901088,11.754000000,381.000000000,640.000000000,1.000000000
46.429130,11.794000000,383.500000000,640.000000000,1.000000000
47.049907,11.840000000,380.000000000,640.000000000,1.000000000
47.695516,11.908000000,383.000000000,640.000000000,1.000000000
48.243053,11.956000000,383.500000000,640.000000000,1.000000000
48.856164,12.006000000,386.000000000,640.000000000,1.000000000
49.389947,12.068000000,384.000000000,640.000000000,1.000000000
49.911296,12.107000000,382.500000000,640.000000000,1.000000000
50.422703,12.147000000,382.500000000,640.000000000,1.000000000
51.031471,12.200000000,383.000000000,640.000000000,1.000000000
51.683797,12.267000000,383.000000000,640.000000000,1.000000000
52.354120,12.355000000,386.500000000,640.000000000,1.000000000
52.998931,12.417000000,386.500000000,640.000000000,1.000000000
53.692263,12.474000000,387.500000000,640.000000000,1.000000000
54.319314,12.531000000,383.500000000,640.000000000,1.000000000
54.847022,12.581000000,383.000000000,640.000000000,1.000000000
55.575343,12.657000000,382.500000000,640.000000000,1.000000000
56.183057,12.716000000,384.000000000,640.000000000,1.000000000
56.714653,12.764000000,384.000000000,640.000000000,1.000000000
