wall_time,ros_time,field.x,field.y,field.z
0.112855,7.017000000,562.000000000,640.000000000,1.000000000
0.838291,7.085000000,562.000000000,640.000000000,1.000000000
1.603143,7.156000000,562.000000000,640.000000000,1.000000000
2.278761,7.209000000,562.500000000,640.000000000,1.000000000
3.149229,7.273000000,563.500000000,640.000000000,1.000000000
3.844977,7.339000000,562.500000000,640.000000000,1.000000000
4.513638,7.417000000,562.500000000,640.000000000,1.000000000
5.351995,7.495000000,556.500000000,640.000000000,1.000000000
6.170308,7.552000000,531.500000000,640.000000000,1.000000000
6.720863,7.613000000,513.000000000,640.000000000,1.000000000
7.280984,7.691000000,500.000000000,640.000000000,1.000000000
7.946851,7.751000000,480.500000000,640.000000000,1.000000000
8.599403,7.818000000,468.000000000,640.000000000,1.000000000
9.187045,7.867000000,438.500000000,640.000000000,1.000000000
9.774860,7.909000000,431.000000000,640.000000000,1.000000000
10.300542,7.966000000,417.500000000,640.000000000,1.000000000
10.952350,8.012000000,405.500000000,640.000000000,1.000000000
11.511743,8.064000000,394.000000000,640.000000000,1.000000000
12.133497,8.127000000,384.000000000,640.000000000,1.000000000
12.711215,8.173000000,372.500000000,640.000000000,1.000000000
13.340157,8.226000000,361.000000000,640.000000000,1.000000000
13.996346,8.304000000,352.000000000,640.000000000,1.000000000
14.768517,8.384000000,340.500000000,640.000000000,1.000000000
15.539005,8.429000000,326.500000000,640.000000000,1.000000000
16.266524,8.467000000,319.500000000,640.000000000,1.000000000
17.053758,8.550000000,315.000000000,640.000000000,1.000000000
17.680072,8.599000000,305.000000000,640.000000000,1.000000000
18.275655,8.663000000,292.000000000,640.000000000,1.000000000
18.837818,8.727000000,286.500000000,640.000000000,1.000000000
19.390573,8.768000000,283.000000000,640.000000000,1.000000000
20.090325,8.881000000,280.000000000,640.000000000,1.000000000
20.670504,8.935000000,277.500000000,640.000000000,1.000000000
21.294541,9.009000000,267.000000000,640.000000000,1.000000000
21.899227,9.055000000,265.000000000,640.000000000,1.000000000
22.499026,9.112000000,264.500000000,640.000000000,1.000000000
23.130504,9.200000000,264.000000000,640.000000000,1.000000000
23.705530,9.251000000,266.000000000,640.000000000,1.000000000
24.306956,9.315000000,267.500000000,640.000000000,1.000000000
25.109225,9.428000000,269.500000000,640.000000000,1.000000000
25.630971,9.473000000,270.500000000,640.000000000,1.000000000
26.250063,9.539000000,273.000000000,640.000000000,1.000000000
26.827023,9.588000000,274.500000000,640.000000000,1.000000000
27.467361,9.653000000,275.000000000,640.000000000,1.000000000
28.016855,9.699000000,276.500000000,640.000000000,1.000000000
28.536711,9.743000000,281.500000000,640.000000000,1.000000000
29.270504,9.808000000,284.500000000,640.000000000,1.000000000
29.895258,9.856000000,286.000000000,640.000000000,1.000000000
30.491790,9.913000000,288.000000000,640.000000000,1.000000000
31.212103,9.997000000,291.000000000,640.000000000,1.000000000
31.774359,10.053000000,293.500000000,640.000000000,1.000000000
32.340398,10.110000000,296.500000000,640.000000000,1.000000000
32.954109,10.174000000,297.500000000,640.000000000,1.000000000
33.615862,10.273000000,301.500000000,640.000000000,1.000000000
34.178174,10.334000000,304.000000000,640.000000000,1.000000000
34.814413,10.395000000,310.500000000,640.000000000,1.000000000
35.420730,10.459000000,317.000000000,640.000000000,1.000000000
36.002217,10.517000000,322.000000000,640.000000000,1.000000000
36.705231,10.592000000,326.000000000,640.000000000,1.000000000
37.337735,10.669000000,330.500000000,640.000000000,1.000000000
37.842383,10.716000000,332.500000000,640.000000000,1.000000000
38.454393,10.779000000,333.000000000,640.000000000,1.000000000
39.052247,10.850000000,344.000000000,640.000000000,1.000000000
39.667940,10.907000000,347.500000000,640.000000000,1.000000000
40.274123,10.984000000,355.500000000,640.000000000,1.000000000
40.904840,11.055000000,359.500000000,640.000000000,1.000000000
41.548308,11.136000000,362.000000000,640.000000000,1.000000000
42.139297,11.186000000,363.500000000,640.000000000,1.000000000
42.751242,11.226000000,366.000000000,640.000000000,1.000000000
43.363521,11.279000000,374.500000000,640.000000000,1.000000000
43.894972,11.331000000,374.500000000,640.000000000,1.000000000
