wall_time,ros_time,field.x,field.y,field.z
51.696729,12.464000000,343.500000000,640.000000000,1.000000000
52.345330,12.519000000,345.500000000,640.000000000,1.000000000
52.937251,12.580000000,345.500000000,640.000000000,1.000000000
53.605632,12.655000000,346.000000000,640.000000000,1.000000000
54.238098,12.720000000,348.500000000,640.000000000,1.000000000
54.834675,12.772000000,349.000000000,640.000000000,1.000000000
55.315702,12.812000000,349.500000000,640.000000000,1.000000000
55.861426,12.862000000,349.000000000,640.000000000,1.000000000
56.469468,12.935000000,352.000000000,640.000000000,1.000000000
57.034848,12.987000000,351.500000000,640.000000000,1.000000000
57.577121,13.050000000,355.000000000,640.000000000,1.000000000
58.274800,13.114000000,356.000000000,640.000000000,1.000000000
58.880163,13.175000000,354.000000000,640.000000000,1.000000000
59.498249,13.244000000,358.000000000,640.000000000,1.000000000
60.119467,13.309000000,359.000000000,640.000000000,1.000000000
60.731445,13.357000000,358.000000000,640.000000000,1.000000000
61.382701,13.429000000,354.500000000,640.000000000,1.000000000
61.900753,13.473000000,354.500000000,640.000000000,1.000000000
62.494325,13.550000000,357.500000000,640.000000000,1.000000000
63.055388,13.602000000,355.000000000,640.000000000,1.000000000
63.649278,13.662000000,358.500000000,640.000000000,1.000000000
64.189892,13.703000000,359.000000000,640.000000000,1.000000000
64.730839,13.736000000,360.500000000,640.000000000,1.000000000
65.298312,13.807000000,361.000000000,640.000000000,1.000000000
66.087120,13.894000000,361.000000000,640.000000000,1.000000000
66.637969,13.966000000,359.500000000,640.000000000,1.000000000
67.212102,14.056000000,360.500000000,640.000000000,1.000000000
67.828364,14.123000000,360.000000000,640.000000000,1.000000000
68.450603,14.175000000,357.500000000,640.000000000,1.000000000
69.060513,14.247000000,356.500000000,640.000000000,1.000000000
69.687723,14.325000000,358.500000000,640.000000000,1.000000000
70.334567,14.375000000,361.000000000,640.000000000,1.000000000
71.019257,14.478000000,361.500000000,640.000000000,1.000000000
71.640733,14.575000000,359.500000000,640.000000000,1.000000000
72.253299,14.636000000,359.500000000,640.000000000,1.000000000
72.865910,14.704000000,358.500000000,640.000000000,1.000000000
73.486107,14.762000000,359.500000000,640.000000000,1.000000000
74.089800,14.830000000,356.000000000,640.000000000,1.000000000
74.663714,14.884000000,358.000000000,640.000000000,1.000000000
75.237398,14.932000000,359.500000000,640.000000000,1.000000000
75.724093,14.971000000,360.500000000,640.000000000,1.000000000
76.366796,15.051000000,360.500000000,640.000000000,1.000000000
76.980966,15.117000000,360.500000000,640.000000000,1.000000000
77.606300,15.172000000,359.500000000,640.000000000,1.000000000
78.195543,15.221000000,358.000000000,640.000000000,1.000000000
78.809766,15.269000000,357.500000000,640.000000000,1.000000000
79.460678,15.339000000,355.000000000,640.000000000,1.000000000
79.947609,15.400000000,354.500000000,640.000000000,1.000000000
80.812633,15.509000000,359.500000000,640.000000000,1.000000000
81.415810,15.585000000,360.000000000,640.000000000,1.000000000
82.065824,15.654000000,360.000000000,640.000000000,1.000000000
82.709424,15.724000000,359.500000000,640.000000000,1.000000000
83.363566,15.821000000,358.500000000,640.000000000,1.000000000
83.973410,15.892000000,358.000000000,640.000000000,1.000000000
84.518059,15.935000000,357.000000000,640.000000000,1.000000000
85.122166,16.001000000,356.000000000,640.000000000,1.000000000
85.723382,16.040000000,356.000000000,640.000000000,1.000000000
86.303256,16.084000000,356.500000000,640.000000000,1.000000000
