wall_time,ros_time,field.x,field.y,field.z
0.530289,7.135000000,561.500000000,640.000000000,1.000000000
1.232614,7.181000000,562.000000000,640.000000000,1.000000000
1.849172,7.239000000,562.000000000,640.000000000,1.000000000
2.724749,7.300000000,562.500000000,640.000000000,1.000000000
3.537099,7.355000000,563.000000000,640.000000000,1.000000000
4.402912,7.407000000,563.000000000,640.000000000,1.000000000
5.114573,7.490000000,562.000000000,640.000000000,1.000000000
5.706620,7.585000000,543.500000000,640.000000000,1.000000000
6.242232,7.646000000,515.500000000,640.000000000,1.000000000
6.834885,7.701000000,477.000000000,640.000000000,1.000000000
7.418079,7.744000000,469.000000000,640.000000000,1.000000000
8.050539,7.824000000,447.500000000,640.000000000,1.000000000
8.732952,7.910000000,432.000000000,640.000000000,1.000000000
9.372146,7.978000000,417.000000000,640.000000000,1.000000000
9.995928,8.045000000,401.500000000,640.000000000,1.000000000
10.623080,8.113000000,391.500000000,640.000000000,1.000000000
11.124051,8.151000000,375.500000000,640.000000000,1.000000000
11.650766,8.199000000,369.000000000,640.000000000,1.000000000
12.249039,8.270000000,351.500000000,640.000000000,1.000000000
12.779154,8.319000000,342.500000000,640.000000000,1.000000000
13.603333,8.460000000,331.500000000,640.000000000,1.000000000
14.168862,8.503000000,325.000000000,640.000000000,1.000000000
14.826202,8.597000000,312.000000000,640.000000000,1.000000000
15.511860,8.666000000,305.000000000,640.000000000,1.000000000
16.169376,8.725000000,288.500000000,640.000000000,1.000000000
16.770470,8.786000000,285.000000000,640.000000000,1.000000000
17.321633,8.835000000,280.000000000,640.000000000,1.000000000
17.955057,8.886000000,275.000000000,640.000000000,1.000000000
18.584948,8.936000000,272.500000000,640.000000000,1.000000000
19.232828,9.017000000,270.500000000,640.000000000,1.000000000
19.860724,9.092000000,270.500000000,640.000000000,1.000000000
20.428147,9.146000000,270.000000000,640.000000000,1.000000000
21.022050,9.232000000,265.500000000,640.000000000,1.000000000
21.570852,9.278000000,266.000000000,640.000000000,1.000000000
22.162226,9.333000000,267.500000000,640.000000000,1.000000000
22.707698,9.399000000,268.500000000,640.000000000,1.000000000
23.285933,9.440000000,270.500000000,640.000000000,1.000000000
23.857377,9.488000000,272.000000000,640.000000000,1.000000000
24.498802,9.536000000,273.500000000,640.000000000,1.000000000
25.120360,9.587000000,274.000000000,640.000000000,1.000000000
25.659852,9.628000000,275.000000000,640.000000000,1.000000000
26.220163,9.684000000,277.000000000,640.000000000,1.000000000
26.800604,9.735000000,278.500000000,640.000000000,1.000000000
27.396475,9.786000000,280.000000000,640.000000000,1.000000000
27.991807,9.850000000,282.500000000,640.000000000,1.000000000
28.541483,9.904000000,284.000000000,640.000000000,1.000000000
29.211478,9.994000000,287.500000000,640.000000000,1.000000000
29.745293,10.041000000,288.500000000,640.000000000,1.000000000
30.316757,10.094000000,291.000000000,640.000000000,1.000000000
30.804949,10.142000000,291.500000000,640.000000000,1.000000000
31.352881,10.188000000,292.500000000,640.000000000,1.000000000
31.933333,10.228000000,293.500000000,640.000000000,1.000000000
32.486644,10.287000000,297.000000000,640.000000000,1.000000000
33.006096,10.360000000,299.500000000,640.000000000,1.000000000
33.551744,10.404000000,300.000000000,640.000000000,1.000000000
34.043619,10.440000000,303.000000000,640.000000000,1.000000000
34.625332,10.496000000,305.000000000,640.000000000,1.000000000
35.116630,10.551000000,306.000000000,640.000000000,1.000000000
35.797146,10.616000000,307.500000000,640.000000000,1.000000000
36.428191,10.670000000,310.000000000,640.000000000,1.000000000
36.978860,10.720000000,311.000000000,640.000000000,1.000000000
37.549554,10.773000000,311.500000000,640.000000000,1.000000000
38.094824,10.819000000,312.500000000,640.000000000,1.000000000
38.732505,10.908000000,314.500000000,640.000000000,1.000000000
39.401756,10.974000000,317.500000000,640.000000000,1.000000000
40.006430,11.030000000,318.000000000,640.000000000,1.000000000
40.549625,11.089000000,319.000000000,640.000000000,1.000000000
41.187336,11.155000000,322.500000000,640.000000000,1.000000000
41.817438,11.239000000,326.000000000,640.000000000,1.000000000
42.452045,11.294000000,329.000000000,640.000000000,1.000000000
42.991407,11.351000000,329.000000000,640.000000000,1.000000000
43.666332,11.415000000,335.000000000,640.000000000,1.000000000
44.292624,11.501000000,342.500000000,640.000000000,1.000000000
44.842123,11.560000000,345.000000000,640.000000000,1.000000000
45.441852,11.613000000,347.000000000,640.000000000,1.000000000
46.005270,11.653000000,348.500000000,640.000000000,1.000000000
46.583899,11.707000000,351.500000000,640.000000000,1.000000000
47.117624,11.747000000,355.500000000,640.000000000,1.000000000
47.671847,11.814000000,355.500000000,640.000000000,1.000000000
48.239098,11.852000000,357.000000000,640.000000000,1.000000000
48.857942,11.890000000,357.000000000,640.000000000,1.000000000
49.458810,11.931000000,359.000000000,640.000000000,1.000000000
50.001056,11.977000000,361.000000000,640.000000000,1.000000000
50.511600,12.016000000,361.000000000,640.000000000,1.000000000
51.127275,12.139000000,362.500000000,640.000000000,1.000000000
51.913300,12.227000000,362.500000000,640.000000000,1.000000000
52.477945,12.277000000,361.000000000,640.000000000,1.000000000
53.208690,12.382000000,363.000000000,640.000000000,1.000000000
53.825705,12.443000000,366.000000000,640.000000000,1.000000000
54.453704,12.501000000,367.000000000,640.000000000,1.000000000
55.065737,12.561000000,369.500000000,640.000000000,1.000000000
55.633774,12.613000000,371.500000000,640.000000000,1.000000000
56.176784,12.665000000,367.500000000,640.000000000,1.000000000
56.691310,12.723000000,370.500000000,640.000000000,1.000000000
57.305114,12.776000000,374.500000000,640.000000000,1.000000000
58.067661,12.852000000,369.500000000,640.000000000,1.000000000
58.623946,12.899000000,374.000000000,640.000000000,1.000000000
59.264797,12.949000000,369.500000000,640.000000000,1.000000000
59.879709,13.003000000,373.500000000,640.000000000,1.000000000
60.427222,13.048000000,374.500000000,640.000000000,1.000000000
60.961682,13.102000000,370.500000000,640.000000000,1.000000000
61.620126,13.164000000,369.500000000,640.000000000,1.000000000
62.228258,13.227000000,369.500000000,640.000000000,1.000000000
62.783373,13.268000000,370.500000000,640.000000000,1.000000000
63.316323,13.332000000,369.500000000,640.000000000,1.000000000
63.995332,13.402000000,374.000000000,640.000000000,1.000000000
64.542235,13.472000000,374.500000000,640.000000000,1.000000000
65.289198,13.582000000,375.000000000,640.000000000,1.000000000
65.815107,13.644000000,373.500000000,640.000000000,1.000000000
66.361727,13.694000000,373.500000000,640.000000000,1.000000000
67.002476,13.799000000,368.000000000,640.000000000,1.000000000
67.594648,13.857000000,367.500000000,640.000000000,1.000000000
68.140960,13.910000000,368.000000000,640.000000000,1.000000000
68.776716,13.976000000,372.000000000,640.000000000,1.000000000
69.331702,14.039000000,372.000000000,640.000000000,1.000000000
69.886820,14.111000000,372.000000000,640.000000000,1.000000000
70.423634,14.162000000,371.000000000,640.000000000,1.000000000
