wall_time,ros_time,field.x,field.y,field.z
0.379137,6.473000000,561.500000000,640.000000000,1.000000000
1.310017,6.543000000,562.000000000,640.000000000,1.000000000
2.245251,6.621000000,561.000000000,640.000000000,1.000000000
3.188776,6.687000000,561.500000000,640.000000000,1.000000000
4.143907,6.755000000,561.500000000,640.000000000,1.000000000
4.699032,6.809000000,561.500000000,640.000000000,1.000000000
5.332650,6.852000000,562.000000000,640.000000000,1.000000000
5.886232,6.897000000,559.000000000,640.000000000,1.000000000
6.535010,6.948000000,543.000000000,640.000000000,1.000000000
7.103331,6.998000000,534.000000000,640.000000000,1.000000000
7.793579,7.097000000,525.500000000,640.000000000,1.000000000
8.713573,7.208000000,513.500000000,640.000000000,1.000000000
9.333091,7.264000000,497.500000000,640.000000000,1.000000000
10.033213,7.365000000,464.000000000,640.000000000,1.000000000
10.731025,7.447000000,447.000000000,640.000000000,1.000000000
11.279805,7.511000000,432.000000000,640.000000000,1.000000000
11.983947,7.608000000,411.000000000,640.000000000,1.000000000
12.616822,7.671000000,394.500000000,640.000000000,1.000000000
13.346539,7.738000000,377.000000000,640.000000000,1.000000000
13.964246,7.798000000,367.000000000,640.000000000,1.000000000
14.610935,7.863000000,359.500000000,640.000000000,1.000000000
15.661225,7.942000000,343.500000000,640.000000000,1.000000000
16.536874,8.000000000,339.500000000,640.000000000,1.000000000
17.426159,8.092000000,319.500000000,640.000000000,1.000000000
18.024576,8.142000000,312.000000000,640.000000000,1.000000000
18.658414,8.195000000,303.000000000,640.000000000,1.000000000
19.202850,8.241000000,294.000000000,640.000000000,1.000000000
19.760041,8.292000000,285.000000000,640.000000000,1.000000000
20.359021,8.368000000,279.000000000,640.000000000,1.000000000
20.936036,8.433000000,274.500000000,640.000000000,1.000000000
21.488048,8.479000000,269.500000000,640.000000000,1.000000000
22.097045,8.565000000,268.500000000,640.000000000,1.000000000
22.721332,8.635000000,267.000000000,640.000000000,1.000000000
23.239013,8.693000000,265.000000000,640.000000000,1.000000000
23.858948,8.765000000,265.000000000,640.000000000,1.000000000
24.486455,8.853000000,264.500000000,640.000000000,1.000000000
25.084995,8.916000000,264.000000000,640.000000000,1.000000000
25.667138,8.977000000,265.500000000,640.000000000,1.000000000
26.320502,9.069000000,269.500000000,640.000000000,1.000000000
26.936859,9.130000000,270.000000000,640.000000000,1.000000000
27.567778,9.196000000,272.000000000,640.000000000,1.000000000
28.182218,9.262000000,273.500000000,640.000000000,1.000000000
28.855705,9.363000000,275.000000000,640.000000000,1.000000000
29.473817,9.451000000,278.500000000,640.000000000,1.000000000
30.049825,9.514000000,284.000000000,640.000000000,1.000000000
30.638611,9.576000000,285.500000000,640.000000000,1.000000000
31.241894,9.638000000,290.500000000,640.000000000,1.000000000
31.908020,9.748000000,294.000000000,640.000000000,1.000000000
32.490217,9.793000000,296.000000000,640.000000000,1.000000000
33.065699,9.842000000,302.000000000,640.000000000,1.000000000
33.645470,9.899000000,306.000000000,640.000000000,1.000000000
34.188418,9.946000000,312.000000000,640.000000000,1.000000000
34.622126,9.982000000,314.000000000,640.000000000,1.000000000
35.132268,10.039000000,314.500000000,640.000000000,1.000000000
35.795640,10.091000000,319.000000000,640.000000000,1.000000000
36.380154,10.148000000,325.500000000,640.000000000,1.000000000
37.078329,10.250000000,329.000000000,640.000000000,1.000000000
37.676904,10.309000000,329.000000000,640.000000000,1.000000000
38.222794,10.366000000,343.000000000,640.000000000,1.000000000
38.697118,10.398000000,346.000000000,640.000000000,1.000000000
39.241086,10.441000000,347.000000000,640.000000000,1.000000000
39.847327,10.500000000,352.000000000,640.000000000,1.000000000
40.491029,10.573000000,356.500000000,640.000000000,1.000000000
41.089944,10.639000000,359.000000000,640.000000000,1.000000000
41.621062,10.694000000,366.500000000,640.000000000,1.000000000
42.180247,10.763000000,366.500000000,640.000000000,1.000000000
42.755736,10.821000000,373.500000000,640.000000000,1.000000000
43.360297,10.878000000,379.000000000,640.000000000,1.000000000
43.932174,10.920000000,383.500000000,640.000000000,1.000000000
44.572381,11.004000000,386.000000000,640.000000000,1.000000000
45.156645,11.078000000,390.500000000,640.000000000,1.000000000
45.722133,11.131000000,394.500000000,640.000000000,1.000000000
46.204832,11.169000000,394.000000000,640.000000000,1.000000000
46.764857,11.224000000,394.500000000,640.000000000,1.000000000
47.287556,11.276000000,396.000000000,640.000000000,1.000000000
47.819011,11.332000000,402.000000000,640.000000000,1.000000000
48.344112,11.377000000,400.500000000,640.000000000,1.000000000
48.938975,11.435000000,401.000000000,640.000000000,1.000000000
49.564841,11.487000000,406.500000000,640.000000000,1.000000000
50.122033,11.550000000,409.000000000,640.000000000,1.000000000
50.648271,11.610000000,409.000000000,640.000000000,1.000000000
51.220010,11.665000000,411.000000000,640.000000000,1.000000000
51.731150,11.706000000,412.000000000,640.000000000,1.000000000
52.425886,11.770000000,413.500000000,640.000000000,1.000000000
52.899685,11.801000000,413.500000000,640.000000000,1.000000000
53.673538,11.902000000,413.000000000,640.000000000,1.000000000
54.134004,11.932000000,413.000000000,640.000000000,1.000000000
54.729091,11.985000000,414.500000000,640.000000000,1.000000000
55.319523,12.071000000,415.500000000,640.000000000,1.000000000
55.940729,12.145000000,414.500000000,640.000000000,1.000000000
56.503931,12.210000000,414.500000000,640.000000000,1.000000000
